,ds,Predicted_p1,Predicted_p2,Predicted_p3,Predicted_p4,Predicted_p5
365,2022-01-01,2149411.2656888366,2522812.3975858586,1191576.6376160327,1618604.6698691146,761364.4455999107
366,2022-01-02,1243268.1772749578,1315743.2102671505,549713.9269281477,796425.8485267364,74522.5568178061
367,2022-01-03,4189600.172408564,3995933.388892565,2084375.8413859014,2622563.745103078,1976809.2732129712
368,2022-01-04,2316361.904868804,2676486.706565641,1204948.8762571595,1611450.1123580954,782275.7844853931
369,2022-01-05,2323114.425823862,2703661.7402514894,1249801.705918649,1634879.5139338123,795246.5719236436
370,2022-01-06,2414250.669798527,2732782.840717246,1292937.2741103095,1691432.7945387147,889860.1916896638
371,2022-01-07,2335642.9467483936,2683375.5499758148,1245519.7510436338,1535062.5284857722,828176.9985329615
372,2022-01-08,2297634.2590895435,2681202.9766309387,1243546.8089305284,1597162.1246739184,807974.5911849454
373,2022-01-09,1378884.0830226555,1454011.9573943107,598411.7229345266,768905.7109460557,119774.65996855841
374,2022-01-10,4311867.761038807,4113730.1469992567,2129355.173380613,2590338.4310833705,2020238.1499744435
375,2022-01-11,2424825.2268752498,2773976.4637176963,1245853.279475413,1576065.2052754308,823509.3334156161
376,2022-01-12,2417606.064131244,2781508.7920893948,1286373.179048882,1598007.64864129,834018.6799764803
377,2022-01-13,2494888.06151175,2792121.510927831,1325022.3543537995,1654823.2899494264,926019.6411962744
378,2022-01-14,2402817.9364578575,2725768.32728332,1273072.6609223976,1500488.2183065494,861692.1178705322
379,2022-01-15,2351996.226429406,2708587.289047919,1266629.601812144,1566364.9390774479,838933.5397875109
380,2022-01-16,1421317.1573376243,1468637.1324645716,617191.4469665807,743542.6199710453,148381.3882601296
381,2022-01-17,4343462.790461433,4118086.39014954,2144098.164920956,2571929.370628212,2046804.221268939
382,2022-01-18,2446847.304239286,2770717.917713697,1256916.7846295757,1565944.568228855,848441.9335635874
383,2022-01-19,2431458.5237215143,2773372.911637039,1294194.5825813194,1597280.8372458336,857805.2668091953
384,2022-01-20,2502073.9459717236,2781847.092681778,1330106.3666428623,1664329.693086649,949209.7958378794
385,2022-01-21,2404899.9899967876,2716014.5736998636,1275976.8735782923,1520771.802520033,884877.2503537261
386,2022-01-22,2350556.4971940517,2701856.2530847043,1267948.869101993,1597653.429390379,862725.1692270342
387,2022-01-23,1417917.2880819004,1467201.790062074,617541.5819765179,785736.0020033725,173388.76121009298
388,2022-01-24,4339606.0428165775,4123926.421420495,2144099.455478109,2624598.176121572,2073612.0496044094
389,2022-01-25,2443943.299096362,2785465.0505202236,1257177.8339305194,1628338.1196044758,877589.0248462551
390,2022-01-26,2430791.590434751,2798267.399112707,1295296.963233444,1668345.3315495155,889764.7860029908
391,2022-01-27,2504775.8594412613,2817706.5678467844,1332590.545223353,1742735.7106305188,984371.8389514391
392,2022-01-28,2411927.7400402324,2763216.1584334583,1280329.8165523757,1604950.539055512,923534.329710692
393,2022-01-29,2362675.583831392,2760332.406931484,1274593.682038135,1685840.6820089265,905061.1099018977
394,2022-01-30,1435690.8730355476,1536449.9771646238,626829.4638787095,876022.6957180753,219471.391466517
395,2022-01-31,4363390.117253879,4203032.263993831,2156304.1714527668,2714986.0083133345,2123389.939317789
